Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
ALDH3B2	11	67429633	67448671	ENSG00000132746
BDP1	5	70751442	70863649	ENSG00000145734
AOX1	2	201450591	201541787	ENSG00000138356
TTC4	1	55181495	55208330	ENSG00000243725
GLI1	12	57853918	57866045	ENSG00000111087
CAV2	7	115927434	116148595	ENSG00000105971
DTNB	2	25600067	25896503	ENSG00000138101
GNAT3	7	80087987	80141336	ENSG00000214415
PLEKHG4B	5	140373	190085	ENSG00000153404
REXO2	11	114310108	114321001	ENSG00000076043
VWA7	HSCHR6_MHC_COX	31720750	31732475	ENSG00000227144
LPAR6	13	48963707	49018840	ENSG00000139679
PRLHR	10	120352916	120355160	ENSG00000119973
MRPL4	19	10362577	10370721	ENSG00000105364
DDX19B	16	70323566	70369186	ENSG00000157349
PRPH2	6	42664340	42690312	ENSG00000112619
NUDT18	8	21964383	21966932	ENSG00000173566
PLD2	17	4710391	4726729	ENSG00000129219
RDH5	12	56114151	56118489	ENSG00000135437
PLXDC1	17	37219556	37310647	ENSG00000161381
SATL1	X	84347293	84364054	ENSG00000184788
ZDHHC9	X	128937264	128977885	ENSG00000188706
ERCC2	19	45853095	45874176	ENSG00000104884
C10orf99	10	85933494	85945050	ENSG00000188373
MMP23B	1	1567474	1570639	ENSG00000189409
SERPIND1	22	21128167	21142008	ENSG00000099937
CACUL1	10	120433679	120514761	ENSG00000151893
TRAF7	16	2205699	2228130	ENSG00000131653
C9orf131	9	35041092	35045988	ENSG00000174038
ELP2	18	33709407	33757909	ENSG00000134759
HSD17B14	19	49316274	49339935	ENSG00000087076
GBX1	7	150845676	150871832	ENSG00000164900
FGD5	3	14860469	14975895	ENSG00000154783
BPY2	Y	25119966	25151612	ENSG00000183753
ZFP64	20	50668202	50820847	ENSG00000020256
BCOR	X	39909068	40036582	ENSG00000183337
SNAP29	22	21213271	21245506	ENSG00000099940
SKP1	5	133484633	133512729	ENSG00000113558
RCBTB2	13	49063095	49107369	ENSG00000136161
HR	8	21971928	21990897	ENSG00000168453
SPDYE4	17	8656424	8661877	ENSG00000183318
SEMA3C	7	80371854	80551675	ENSG00000075223
AMELY	Y	6733959	6742068	ENSG00000099721
FLJ00273	9	35042390	35042824	ENSG00000269510
ASB10	7	150872785	150884919	ENSG00000146926
ZNF711	X	84498997	84528368	ENSG00000147180
PARS2	1	55222571	55230187	ENSG00000162396
FAM78A	9	134133463	134151934	ENSG00000126882
SLC25A47	14	100789674	100796715	ENSG00000140107
ZNF773	19	58011283	58029772	ENSG00000152439
HLA-DOA	HSCHR6_MHC_SSTO	33111813	33117246	ENSG00000232957
TTC22	1	55245385	55266940	ENSG00000006555
CDHR1	10	85954410	85979377	ENSG00000148600
USP37	2	219314974	219433084	ENSG00000135913
NCOA4	10	51565108	51590734	ENSG00000138293
SLC5A7	2	108602979	108630450	ENSG00000115665
PLEKHA4	19	49340354	49371889	ENSG00000105559
SEMA6A	5	115779312	115910630	ENSG00000092421
VCP	9	35056061	35073246	ENSG00000165280
PPAPDC3	9	134165081	134184649	ENSG00000160539
ID2	2	8818975	8824583	ENSG00000115738
SKIV2L	HSCHR6_MHC_COX	31914409	31925080	ENSG00000225737
ESRRG	1	216676588	217311097	ENSG00000196482
CEP68	2	65283500	65314138	ENSG00000011523
ZNF549	19	58038693	58068910	ENSG00000121406
SLC26A8	6	35911291	35992645	ENSG00000112053
SEPN1	1	26126667	26144713	ENSG00000162430
UNC93B1	11	67758575	67772452	ENSG00000110057
LTBP1	2	33172039	33624576	ENSG00000049323
MYL7	7	44178463	44180931	ENSG00000106631
ACTR3C	7	149941005	150020814	ENSG00000106526
POPDC2	3	119355304	119384171	ENSG00000121577
PCYOX1	2	70484518	70508323	ENSG00000116005
POU5F1	HSCHR6_MHC_QBL	31119639	31130942	ENSG00000206454
CRKL	22	21271714	21308037	ENSG00000099942
C1orf177	1	55271736	55307925	ENSG00000162398
CD63	12	56119107	56123491	ENSG00000135404
BRD8	5	137475455	137514675	ENSG00000112983
ZNF550	19	58046625	58071231	ENSG00000251369
POLE	12	133200348	133263951	ENSG00000177084
TOM1	22	35695268	35743985	ENSG00000100284
ABCF2	7	150904923	150924316	ENSG00000033050
TLE3	15	70340129	70390515	ENSG00000140332
SCARB2	4	77079890	77135046	ENSG00000138760
TMEM161B	5	87485450	87565293	ENSG00000164180
DCHS1	11	6642556	6677085	ENSG00000166341
WWC1	5	167718656	167899308	ENSG00000113645
MFSD6L	17	8700436	8702667	ENSG00000185156
MYL2	12	111348623	111358526	ENSG00000111245
TBC1D1	4	37892708	38140796	ENSG00000065882
PRRC2B	9	134269480	134375584	ENSG00000130723
DGKQ	4	952675	980683	ENSG00000145214
CASKIN1	16	2227184	2246526	ENSG00000167971
CYSLTR2	13	49280951	49283498	ENSG00000152207
NKX2-1	14	36985602	36990354	ENSG00000136352
DHCR24	1	55315306	55352891	ENSG00000116133
CBS	21	44473301	44497053	ENSG00000160200
CD300LB	17	72517313	72527613	ENSG00000178789
LMOD3	3	69156023	69172183	ENSG00000163380
PIK3R5	17	8782233	8869029	ENSG00000141506
MYOD1	11	17741115	17743678	ENSG00000129152
MRPL17	11	6702013	6704632	ENSG00000158042
PZP	12	9301436	9360966	ENSG00000126838
OR10C1	6	29407083	29408731	ENSG00000206474
SRCAP	16	30709530	30755602	ENSG00000080603
PHLPP1	18	60382672	60647666	ENSG00000081913
DLG5	10	79550549	79686378	ENSG00000151208
CELF2	10	11047259	11378674	ENSG00000048740
FADS3	11	61640991	61659523	ENSG00000221968
OR2H1	6	29424958	29432105	ENSG00000204688
CUEDC2	10	104183002	104192418	ENSG00000107874
KCNC1	11	17756359	17804602	ENSG00000129159
ATP6AP2	X	40440146	40465889	ENSG00000182220
AIFM3	22	21319396	21335649	ENSG00000183773
CUX2	12	111471828	111788358	ENSG00000111249
ALS2	2	202565277	202645912	ENSG00000003393
EXOSC7	3	45016733	45077558	ENSG00000075914
OR2AG2	11	6789218	6790286	ENSG00000188124
OR2AG1	11	6806248	6807245	ENSG00000170803
PLEKHF1	19	30155963	30166364	ENSG00000166289
VARS	HSCHR6_MHC_COX	31732662	31751095	ENSG00000226589
OR6A2	11	6815756	6817128	ENSG00000184933
MTFR1L	1	26145131	26159432	ENSG00000117640
TSHR	14	81421333	81612646	ENSG00000165409
OR10A5	11	6866883	6867936	ENSG00000166363
TRIM47	17	73870242	73874656	ENSG00000132481
AC073569.1	12	80198742	80202321	ENSG00000269531
TMEM61	1	55446465	55457966	ENSG00000143001
OR10A2	11	6890924	6891976	ENSG00000170790
GPATCH2	1	217600334	217804424	ENSG00000092978
C19orf12	19	30191721	30206364	ENSG00000131943
LRRTM1	2	80515483	80531874	ENSG00000162951
DAZ1	Y	25275502	25345241	ENSG00000188120
BSND	1	55464606	55476556	ENSG00000162399
FNDC3A	13	49550048	49783915	ENSG00000102531
NR2C2	3	14989091	15095107	ENSG00000177463
MAS1L	6	29454474	29455738	ENSG00000204687
PPP1R13L	19	45882892	45909607	ENSG00000104881
ZBTB22	HSCHR6_MHC_DBB	33260109	33263646	ENSG00000227780
AC015989.1	18	60491423	60492724	ENSG00000215431
LUC7L2	7	139026106	139107345	ENSG00000269955
AC015989.2	18	60505640	60505948	ENSG00000269630
RNF39	HSCHR6_MHC_DBB	30028370	30033991	ENSG00000235022
TRIM65	17	73876416	73893084	ENSG00000141569
NDUFAF6	8	95907995	96128683	ENSG00000156170
AL161645.2	10	135341026	135342661	ENSG00000268925
SPRED1	15	38544527	38649450	ENSG00000166068
SMC1A	X	53401070	53449677	ENSG00000072501
BCL2	18	60790579	60987361	ENSG00000171791
UQCC2	6	33662070	33679504	ENSG00000137288
NKX2-8	14	37049784	37051812	ENSG00000136327
UPP2	2	158733214	158992666	ENSG00000007001
SERGEF	11	17809595	18034709	ENSG00000129158
PCSK9	1	55505221	55530525	ENSG00000169174
CDK11B	1	1570603	1590473	ENSG00000248333
KLRG2	7	139137436	139168458	ENSG00000188883
RAB1A	2	65297835	65357240	ENSG00000138069
SELENBP1	1	151336778	151345209	ENSG00000143416
SYCE1	10	135367404	135382876	ENSG00000171772
DAXX	HSCHR6_MHC_DBB	33264261	33274971	ENSG00000206206
UBD	6	29523292	29527702	ENSG00000213886
SPATA17	1	217804666	218045038	ENSG00000162814
PAX9	14	37126773	37148920	ENSG00000198807
ANKFN1	17	54188319	54589020	ENSG00000153930
CCNE1	19	30302805	30315215	ENSG00000105173
FAM98B	15	38746328	38779911	ENSG00000171262
CAMK2D	4	114372188	114683083	ENSG00000145349
FANCG	9	35073832	35080013	ENSG00000221829
TSHZ2	20	51588946	52111869	ENSG00000182463
NMUR1	2	232387871	232395206	ENSG00000171596
CXorf38	X	40488285	40506819	ENSG00000185753
TAC4	17	47915671	47925379	ENSG00000176358
KDSR	18	60994959	61034743	ENSG00000119537
OTOGL	12	80603233	80772870	ENSG00000165899
ZNF416	19	58082934	58090295	ENSG00000083817
SBP1	6	33663196	33663474	ENSG00000269490
C2orf57	2	232457575	232458994	ENSG00000177673
MGC4771	2	232571517	232571621	ENSG00000269363
IP6K3	6	33689444	33714762	ENSG00000161896
BTBD16	10	124030821	124097677	ENSG00000138152
GRM2	3	51741086	51752629	ENSG00000164082
MFAP4	17	19286755	19290553	ENSG00000166482
ZIK1	19	58089824	58105145	ENSG00000171649
NXPE1	11	114392437	114430617	ENSG00000095110
RRP15	1	218458629	218511325	ENSG00000067533
AL354993.1	20	52105495	52106164	ENSG00000227164
C17orf66	17	34181955	34195895	ENSG00000172653
KIDINS220	2	8865408	8977760	ENSG00000134313
ARHGDIA	17	79825597	79829282	ENSG00000141522
PTMA	2	232571605	232578251	ENSG00000187514
BCL7A	12	122457328	122499948	ENSG00000110987
POF1B	X	84532402	84634748	ENSG00000124429
ZNF217	20	52183604	52226446	ENSG00000171940
OR10A4	11	6897856	6898850	ENSG00000170782
FRMD4B	3	69219141	69591734	ENSG00000114541
OR2D2	11	6912721	6913830	ENSG00000166368
GCK	7	44183872	44237769	ENSG00000106633
IQCF6	3	51812580	51813009	ENSG00000214686
OR2D3	11	6942205	6943264	ENSG00000178358
TBCC	6	42712219	42714558	ENSG00000124659
ZNF530	19	58111253	58124090	ENSG00000183647
WARS	14	100800125	100843142	ENSG00000140105
ICAM1	19	10381511	10397291	ENSG00000090339
IQCF3	3	51851620	51864876	ENSG00000229972
MED14	X	40507558	40595110	ENSG00000180182
NANOS1	10	120789228	120793854	ENSG00000188613
NXPE4	11	114441313	114466484	ENSG00000137634
PREB	2	27353624	27357543	ENSG00000138073
GLTSCR1L	6	42749765	42836298	ENSG00000112624
BTG1	12	92536286	92539673	ENSG00000133639
ZNF215	11	6947635	7005863	ENSG00000149054
MLST8	16	2254249	2259417	ENSG00000167965
VPS4B	18	61056423	61089716	ENSG00000119541
ZNF134	19	58125601	58134724	ENSG00000213762
TGFB2	1	218519577	218617961	ENSG00000092969
UBD	HSCHR6_MHC_MANN	29522994	29527308	ENSG00000224654
HLA-DPA1	HSCHR6_MHC_SSTO	33171992	33188198	ENSG00000236177
TBX5	12	114791736	114846247	ENSG00000089225
URI1	19	30414551	30506611	ENSG00000105176
FSCN1	7	5632439	5646286	ENSG00000075618
SNRPG	2	70508494	70520903	ENSG00000143977
RP11-701P16.2	4	185734773	185742443	ENSG00000251139
OR2H2	HSCHR6_MHC_MANN	29555313	29556375	ENSG00000227044
SUCLG1	2	84650647	84687169	ENSG00000163541
HELT	4	185939995	185941958	ENSG00000187821
LEMD2	6	33738979	33756913	ENSG00000161904
NXPE2	11	114549108	114579362	ENSG00000204361
BCKDHB	6	80816364	81055987	ENSG00000083123
SLC29A1	6	44187242	44201888	ENSG00000112759
PPP1R15A	19	49375649	49379314	ENSG00000087074
LRRC14B	5	191626	195468	ENSG00000185028
CLEC2L	7	139208602	139229730	ENSG00000236279
ICAM4	19	10397643	10399198	ENSG00000105371
SLC26A1	4	972861	987228	ENSG00000145217
ZNF211	19	58141761	58154147	ENSG00000121417
FAM71D	14	67656110	67695267	ENSG00000172717
RPL7L1	6	42847356	42857663	ENSG00000146223
ANKRD39	2	97502348	97523832	ENSG00000213337
ZNF214	11	7020549	7041599	ENSG00000149050
USP24	1	55532032	55680786	ENSG00000162402
FAM47E	4	77135193	77204933	ENSG00000189157
SLC25A4	4	186064395	186071536	ENSG00000151729
BCAS1	20	52553316	52687304	ENSG00000064787
PRKRA	2	179296141	179316239	ENSG00000180228
CLEC3B	3	45043040	45077563	ENSG00000163815
CD300C	17	72537247	72542282	ENSG00000167850
TULP2	19	49384222	49401990	ENSG00000104804
HLA-DPB1	HSCHR6_MHC_SSTO	33183349	33194624	ENSG00000226826
U2AF1	21	44513066	44527697	ENSG00000160201
NLRP14	11	7041677	7092539	ENSG00000158077
CD300LD	17	72575504	72588422	ENSG00000204345
RASGRP1	15	38780304	38857776	ENSG00000172575
PDE6D	2	232597135	232650982	ENSG00000156973
KIAA1430	4	186080819	186130658	ENSG00000164323
NPEPPS	17	45600308	45700642	ENSG00000141279
MLNR	13	49794474	49796513	ENSG00000102539
LTA	HSCHR6_MHC_DBB	31521973	31524245	ENSG00000223919
PIGO	9	35088685	35096591	ENSG00000165282
NDUFS8	11	67798084	67804111	ENSG00000110717
HIPK2	7	139246316	139477577	ENSG00000064393
PHKG2	16	30759591	30772490	ENSG00000156873
C1orf143	1	218683438	218699320	ENSG00000228208
SERPINB5	18	61143994	61172318	ENSG00000206075
SLC25A21	14	37147636	37642071	ENSG00000183032
KIF5B	10	32297938	32345359	ENSG00000170759
C17orf77	17	72580818	72590348	ENSG00000182352
HMOX1	22	35776354	35790207	ENSG00000100292
CADM1	11	115039938	115375675	ENSG00000182985
MOG	HSCHR6_MHC_MANN	29624321	29639709	ENSG00000230885
REEP4	8	21995533	21999464	ENSG00000168476
BANF2	20	17674317	17716516	ENSG00000125888
CCDC148	2	159027593	159313265	ENSG00000153237
RNF216	7	5659678	5821370	ENSG00000011275
PGK2	6	49753366	49755053	ENSG00000170950
CD3EAP	19	45909467	45914024	ENSG00000117877
RP11-529K1.3	16	70333097	70400163	ENSG00000260537
AC005008.2	7	80804824	80828431	ENSG00000237896
ZBTB24	6	109783797	109804440	ENSG00000112365
RAB3IL1	11	61664773	61687741	ENSG00000167994
CD300E	17	72606026	72619897	ENSG00000186407
LYPLAL1	1	219347186	219386207	ENSG00000143353
DUSP22	6	291630	351355	ENSG00000112679
EIF2B5	3	183852826	184402546	ENSG00000145191
TBL1Y	Y	6778727	6959724	ENSG00000092377
CDADC1	13	49822047	49867618	ENSG00000102543
CPSF6	12	69633317	69668138	ENSG00000111605
POLB	8	42195972	42229326	ENSG00000070501
SERPINB12	18	61223393	61234244	ENSG00000166634
CRISP1	6	49801970	49844809	ENSG00000124812
RBMXL2	11	7110165	7112379	ENSG00000170748
BRE	2	28112808	28561768	ENSG00000158019
MFSD6	2	191273081	191373931	ENSG00000151690
DLX4	17	48046334	48052321	ENSG00000108813
HLA-C	HSCHR6_MHC_QBL	31226380	31229751	ENSG00000206452
SYT9	11	7260009	7490273	ENSG00000170743
UTP14A	X	129040097	129063737	ENSG00000156697
NUCB1	19	49403307	49426629	ENSG00000104805
CDCP1	3	45123770	45187914	ENSG00000163814
TMEM19	12	72079867	72097836	ENSG00000139291
GABBR1	6	29523406	29601753	ENSG00000204681
DDX19A	16	70380732	70407286	ENSG00000168872
NPR3	5	32689176	32791819	ENSG00000113389
RARS	5	167913450	167946304	ENSG00000113643
SERPINB13	18	61254223	61271873	ENSG00000197641
POMT1	9	134378289	134399193	ENSG00000130714
HGF	7	81328322	81399754	ENSG00000019991
USP9X	X	40944888	41095832	ENSG00000124486
EIF3A	10	120794356	120840316	ENSG00000107581
STK32A	5	146614526	146767415	ENSG00000169302
TCIRG1	11	67806483	67818362	ENSG00000110719
RNF112	17	19314438	19320589	ENSG00000128482
MLXIP	12	122516628	122631894	ENSG00000175727
ICAM5	19	10400657	10407454	ENSG00000105376
LZTR1	22	21333751	21353327	ENSG00000099949
SNX5	20	17922241	17949623	ENSG00000089006
SLC30A10	1	219858769	220131989	ENSG00000196660
SULT1C3	2	108863651	108881807	ENSG00000196228
COX17	3	119373360	119396301	ENSG00000138495
MCM5	22	35796056	35821423	ENSG00000100297
C10orf95	10	104209594	104211300	ENSG00000120055
BEST1	11	61717293	61732987	ENSG00000167995
FRG2B	10	135437399	135440299	ENSG00000225899
CTD-2410N18.5	5	133502861	133561762	ENSG00000272772
AL020996.1	1	26145212	26147288	ENSG00000223474
TMEM180	10	104221149	104236802	ENSG00000138111
PPAP2B	1	56960419	57110974	ENSG00000162407
CYP24A1	20	52769988	52790512	ENSG00000019186
AUNIP	1	26158414	26185903	ENSG00000127423
AP001631.10	21	44579176	44582387	ENSG00000228120
CAV1	7	116164839	116201233	ENSG00000105974
PPP2CA	5	133530025	133561833	ENSG00000113575
SKIL	3	170075466	170114623	ENSG00000136603
TRIM31	HSCHR6_MHC_DBB	30061002	30071204	ENSG00000233573
ZGLP1	19	10415479	10420556	ENSG00000220201
STOML2	9	35099888	35103154	ENSG00000165283
ERCC1	19	45910591	45982086	ENSG00000012061
CAB39L	13	49882786	50018262	ENSG00000102547
YKT6	7	44240567	44253893	ENSG00000106636
CRYAA	21	44589118	44592915	ENSG00000160202
HIVEP1	6	12008995	12165232	ENSG00000095951
PAQR7	1	26187701	26197744	ENSG00000182749
C6orf226	6	42858005	42858554	ENSG00000221821
CUL2	10	35297479	35379570	ENSG00000108094
SERPINB4	18	61304493	61311532	ENSG00000206073
FDX1L	19	10416103	10426691	ENSG00000267673
PRKAA2	1	57110995	57181008	ENSG00000162409
CNTNAP1	17	40834631	40851832	ENSG00000108797
DPYSL3	5	146770374	146889619	ENSG00000113657
STMN1	1	26210672	26233482	ENSG00000117632
FAM47E-STBD1	4	77172874	77232282	ENSG00000272414
TMEM194B	2	191369068	191399448	ENSG00000189362
SIK1	21	44834395	44847008	ENSG00000142178
EPRS	1	220141943	220220000	ENSG00000136628
C10orf105	10	73471458	73497581	ENSG00000214688
TRIM59	3	160150233	160203561	ENSG00000213186
CCDC127	5	196986	218330	ENSG00000164366
SNX25	4	186125391	186291339	ENSG00000109762
DIP2B	12	50898768	51142450	ENSG00000066084
FAM47E-STBD1	4	77172886	77232752	ENSG00000118804
NOG	17	54671060	54672951	ENSG00000183691
IKBKG	X	153769414	153796782	ENSG00000073009
MRPS25	3	15083967	15106842	ENSG00000131368
SLC25A21-AS1	14	37641093	37643016	ENSG00000258708
TPH1	11	18039111	18063973	ENSG00000129167
PSMB4	1	151372010	151374420	ENSG00000159377
RAB37	17	72666717	72743474	ENSG00000172794
C10orf54	10	73507316	73533255	ENSG00000107738
PLEKHA1	10	124134212	124191867	ENSG00000107679
IDUA	4	980785	998316	ENSG00000127415
ZNF536	19	30719197	31204445	ENSG00000198597
SLC35E2B	1	1592939	1624167	ENSG00000189339
MOCOS	18	33767482	33852120	ENSG00000075643
NRP2	2	206546714	206662857	ENSG00000118257
ZFP57	HSCHR6_MHC_MANN	29639729	29648438	ENSG00000232099
TIMM23	10	51592080	51623365	ENSG00000138297
DNM1L	12	32832134	32898486	ENSG00000087470
LYZ	12	69742121	69748014	ENSG00000090382
C1orf168	1	57184477	57285369	ENSG00000187889
ARHGAP9	12	57866038	57882597	ENSG00000123329
SULT1C2	2	108905095	108926371	ENSG00000198203
AL136218.1	13	50007495	50020554	ENSG00000215462
PTCRA	6	42883727	42893573	ENSG00000171611
AC020952.1	19	31640362	31640757	ENSG00000268953
HSF2BP	21	44949072	45079374	ENSG00000160207
CCDC77	12	498439	551811	ENSG00000120647
CCDC158	4	77234154	77343021	ENSG00000163749
BRICD5	16	2259254	2261951	ENSG00000182685
C16orf93	16	30768744	30774031	ENSG00000196118
TSHZ3	19	31765851	31840453	ENSG00000121297
CHM	X	85116185	85302566	ENSG00000188419
TBXAS1	7	139476850	139720125	ENSG00000059377
ZSCAN4	19	58180303	58190520	ENSG00000180532
PAFAH2	1	26286258	26324648	ENSG00000158006
SETDB2	13	50018429	50069138	ENSG00000136169
RQCD1	2	219433303	219461803	ENSG00000144580
RAB21	12	72148654	72184699	ENSG00000080371
TPPP2	14	21492268	21504435	ENSG00000179636
USP13	3	179370543	179507189	ENSG00000058056
PGP	16	2261998	2264808	ENSG00000184207
COPS7B	2	232646381	232673963	ENSG00000144524
OLFML1	11	7506619	7532608	ENSG00000183801
ZNF551	19	58193337	58228669	ENSG00000204519
CKMT1B	15	43885252	43897099	ENSG00000237289
ZNF507	19	32836500	32878573	ENSG00000168813
IL3	5	131396222	131398897	ENSG00000164399
RASD2	22	35936915	35950048	ENSG00000100302
DDX3X	X	41192651	41223725	ENSG00000215301
IQCF2	3	51895645	51897440	ENSG00000184345
HLA-F	HSCHR6_MHC_MANN	29687660	29703415	ENSG00000237508
YEATS4	12	69753483	69784576	ENSG00000127337
C8A	1	57320479	57383894	ENSG00000157131
IQCF5	3	51907737	51909600	ENSG00000214681
AC003006.7	19	58193413	58264943	ENSG00000269026
PIGF	2	46808076	46844258	ENSG00000151665
RRP1B	21	45079429	45115958	ENSG00000160208
KLRB1	12	9747147	9760482	ENSG00000111796
AC004017.1	19	58203868	58204128	ENSG00000268948
SAAL1	11	18091482	18127638	ENSG00000166788
SDHA	5	218356	256815	ENSG00000073578
PFDN4	20	52824386	52844591	ENSG00000101132
PTTG2	4	37962056	37962746	ENSG00000250254
ZNF154	19	58208735	58220579	ENSG00000179909
HLA-B	HSCHR6_MHC_QBL	31311768	31315097	ENSG00000206450
C2	6	31865562	31913449	ENSG00000166278
AC021860.1	4	38628029	38666430	ENSG00000196355
E4F1	16	2273567	2285743	ENSG00000167967
COL11A2	HSCHR6_MHC_SSTO	33269767	33296554	ENSG00000232541
FAM109A	12	111798455	111806925	ENSG00000198324
MB	22	36002811	36033998	ENSG00000198125
CNPY3	6	42896938	42907025	ENSG00000137161
IQCF1	3	51928892	51937351	ENSG00000173389
KLF3	4	38665817	38702663	ENSG00000109787
C17orf67	17	54869274	54916134	ENSG00000214226
CLDN11	3	170136653	170578169	ENSG00000013297
ZNF671	19	58231119	58238992	ENSG00000083814
FGFRL1	4	1003724	1020685	ENSG00000127418
MLTK	2	173940163	174132738	ENSG00000091436
BUD13	11	116618886	116643704	ENSG00000137656
ST3GAL2	16	70413338	70473140	ENSG00000157350
TP53INP1	8	95938200	95961639	ENSG00000164938
KPNA4	3	160212783	160283376	ENSG00000186432
ZFYVE20	3	15111580	15140670	ENSG00000131381
FAM46A	6	82201156	82462491	ENSG00000112773
CSF2	5	131409483	131411859	ENSG00000164400
TBX3	12	115108059	115121969	ENSG00000135111
C8B	1	57394883	57431813	ENSG00000021852
ZNF776	19	58258164	58269527	ENSG00000152443
CLEC2D	12	9817565	9848413	ENSG00000069493
DGKE	17	54911460	54946036	ENSG00000153933
LRIT2	10	85980254	85985345	ENSG00000204033
AL049747.1	22	36023040	36031181	ENSG00000268818
FHOD3	18	33877677	34360018	ENSG00000134775
RAVER1	19	10426888	10444316	ENSG00000161847
UACA	15	70946893	71055932	ENSG00000137831
APOL6	22	36044442	36064456	ENSG00000221963
FAM214B	9	35104109	35116338	ENSG00000005238
TSPY4	Y	9175073	9177893	ENSG00000233803
DOK5	20	53092136	53267710	ENSG00000101134
PHF11	13	50069746	50103123	ENSG00000136147
MIPOL1	14	37667118	38021566	ENSG00000151338
ACTR2	2	65454887	65498387	ENSG00000138071
PLEKHF2	8	96146032	96168912	ENSG00000175895
MAATS1	3	119421869	119485949	ENSG00000183833
RP11-683L23.1	18	47225	73545	ENSG00000173213
C8orf37	8	96257147	96281429	ENSG00000156172
MAPK14	6	35995488	36079013	ENSG00000112062
APOL5	22	36113919	36125530	ENSG00000128313
DACH2	X	85403462	86087607	ENSG00000126733
ZNF586	19	58281023	58331307	ENSG00000083828
RIBC1	X	53449639	53458059	ENSG00000158423
LRIT1	10	85991349	86001217	ENSG00000148602
AC007773.3	19	32895915	32896466	ENSG00000269093
DTWD2	5	118173017	118324240	ENSG00000169570
GDF6	8	97154562	97173020	ENSG00000156466
TRIM40	HSCHR6_MHC_DBB	30094214	30106840	ENSG00000227458
PPFIBP2	11	7534529	7678358	ENSG00000166387
DHDH	19	49436939	49448226	ENSG00000104808
EXTL1	1	26346375	26362955	ENSG00000158008
LRP2BP	4	186285032	186317053	ENSG00000109771
DNASE1L2	16	2285817	2288712	ENSG00000167968
DLX3	17	48067369	48072588	ENSG00000064195
PLCD4	2	219472488	219501907	ENSG00000115556
DPY19L3	19	32896449	32976801	ENSG00000178904
RGR	10	86004809	86019716	ENSG00000148604
HLA-G	HSCHR6_MHC_MANN	29791677	29795834	ENSG00000235680
FTH1	11	61727190	61735132	ENSG00000167996
PUF60	8	144898514	144912029	ENSG00000179950
UQCRB	8	97238148	97247862	ENSG00000156467
CCL5	17	34198495	34207797	ENSG00000161570
PDXK	21	45138975	45182188	ENSG00000160209
UCK1	9	134399188	134406655	ENSG00000130717
SERPINB11	18	61314813	61391127	ENSG00000206072
CDK11A	1	1634169	1655766	ENSG00000008128
RRP9	3	51967446	51975957	ENSG00000114767
LGI3	8	22004338	22014597	ENSG00000168481
NYX	X	41306687	41334963	ENSG00000188937
BAX	19	49458072	49465055	ENSG00000087088
NAB1	2	191511472	191557492	ENSG00000138386
RP11-998D10.1	14	21500977	21502054	ENSG00000255472
PTPRQ	12	80799774	81072802	ENSG00000139304
RBFOX2	22	36134783	36424473	ENSG00000100320
SEMA4C	2	97525453	97536494	ENSG00000168758
RNASE13	14	21500979	21502944	ENSG00000206150
TSPY8	Y	9195406	9218479	ENSG00000229549
TMEM158	3	45265958	45267770	ENSG00000249992
OR13A1	HSCHR10_1_CTG5	45798102	45811056	ENSG00000262351
RNASE7	14	21510385	21512393	ENSG00000165799
BPNT1	1	220230824	220263804	ENSG00000162813
ALOX5	HSCHR10_1_CTG5	45885738	45957624	ENSG00000262552
ECI1	16	2289396	2302301	ENSG00000167969
CBLN4	20	54572496	54580528	ENSG00000054803
SH2B3	12	111843752	111889427	ENSG00000111252
AK9	6	109814059	110012420	ENSG00000155085
SERPINB3	18	61322431	61329197	ENSG00000057149
RNASE8	14	21525981	21526614	ENSG00000173431
RNF40	16	30773066	30787628	ENSG00000103549
TLR10	4	38773860	38784611	ENSG00000174123
ANKRD37	4	186317175	186321782	ENSG00000186352
ZNF259	11	116648436	116658766	ENSG00000109917
LARS2	3	45429998	45590913	ENSG00000011376
GDF11	12	56137064	56150911	ENSG00000135414
ZNF552	19	58315209	58326281	ENSG00000178935
MC3R	20	54823788	54824871	ENSG00000124089
TBC1D15	12	72233487	72320629	ENSG00000121749
RCBTB1	13	50106082	50159719	ENSG00000136144
P4HA2	5	131527531	131631008	ENSG00000072682
THAP7	22	21353393	21356485	ENSG00000184436
EDN1	6	12290596	12297427	ENSG00000078401
DAB1	1	57460451	59012406	ENSG00000173406
TNF	HSCHR6_MHC_DBB	31525488	31528257	ENSG00000228849
MPP5	14	67707826	67802536	ENSG00000072415
RDM1	17	34245070	34257777	ENSG00000187456
OVOL2	20	17937623	18039832	ENSG00000125850
HLA-A	HSCHR6_MHC_MANN	29898024	29902665	ENSG00000231834
FAM210B	20	54933971	54943719	ENSG00000124098
MARCH8	HSCHR10_1_CTG5	45966098	46046882	ENSG00000262448
C15orf53	15	38988799	38992239	ENSG00000175779
CTD-2583A14.10	19	58331087	58370309	ENSG00000268750
TLR1	4	38792298	38858438	ENSG00000174125
ITGA3	17	48133332	48167845	ENSG00000005884
BCORL1	X	129115083	129192058	ENSG00000085185
RNF212	4	1050038	1107350	ENSG00000178222
SARNP	12	56146247	56211540	ENSG00000205323
C15orf54	15	39542885	39547046	ENSG00000175746
